Model,Horizon,RMSE,MAE,MAPE,Skill
SARIMA,t+1,1.7199,1.3251,5.8025,-0.0721
SARIMA,t+3,2.3989,1.8131,8.241,0.1899
SARIMA,t+7,2.7136,2.0824,9.5897,0.2651
XGBoost,t+1,1.6005,1.2081,5.2338,0.0023
XGBoost,t+3,2.9678,2.2254,10.1365,-0.0022
XGBoost,t+7,3.7266,2.8079,13.1039,-0.0093
STL+SARIMA,t+1,2.0538,1.5524,7.0039,-0.2802
STL+SARIMA,t+3,2.9569,2.1397,9.9966,0.0015
STL+SARIMA,t+7,3.3,2.3445,11.1895,0.1063
STL+XGBoost,t+1,2.8,2.1269,9.6795,-0.7453
STL+XGBoost,t+3,2.8004,2.1278,9.6846,0.0543
STL+XGBoost,t+7,2.8006,2.128,9.6849,0.2415
LSTM,t+1,1.545,1.2032,5.3205,0.0369
LSTM,t+3,2.1419,1.6464,7.5381,0.2767
LSTM,t+7,2.5316,1.9289,9.0248,0.3144
STL+LSTM,t+1,2.8482,2.1055,9.7284,-0.7754
STL+LSTM,t+3,2.9811,2.197,10.1634,-0.0067
STL+LSTM,t+7,3.1118,2.2856,10.5996,0.1572
